dt,x,y,position,velocity,acceleration,jerk,heading
0.025000,171.374184,271.101572,144.828648,89.193606,2.788249,-63.747300,0.159545
0.025000,173.579646,271.435337,147.059223,89.222968,1.174469,-64.551189,0.140793
0.025000,175.790700,271.727300,149.289469,89.209875,-0.523706,-67.927005,0.121733
0.025000,178.005524,271.976608,151.518281,89.152460,-2.296611,-70.916214,0.102407
0.025000,180.222241,272.182583,153.744547,89.050646,-4.072555,-71.037747,0.082861
0.025000,182.438898,272.344721,155.967126,88.903153,-5.899717,-73.086476,0.063138
0.025000,184.653493,272.462705,158.184862,88.709430,-7.748909,-73.967703,0.043286
0.025000,186.863998,272.536406,160.396595,88.469325,-9.604204,-74.211781,0.023352
0.025000,189.068355,272.565889,162.601149,88.182174,-11.486038,-75.273353,0.003382
0.025000,191.264539,272.551408,164.797380,87.849245,-13.317162,-73.244973,6.266608
0.025000,193.450560,272.493404,166.984172,87.471650,-15.103804,-71.465688,6.246704
0.025000,195.624416,272.392497,169.160368,87.047847,-16.952123,-73.932769,6.226900
0.025000,197.784233,272.249479,171.324915,86.581881,-18.638627,-67.460146,6.207236
0.025000,199.928181,272.065297,173.476759,86.073784,-20.323883,-67.410229,6.187753
0.025000,201.690070,271.889150,175.247432,70.826896,-609.875534,-23582.066059,6.187481
0.025000,203.320176,271.744101,176.883979,65.461888,-214.600309,15811.009021,6.200926
0.025000,204.977762,271.616937,178.546435,66.498239,41.454023,10242.173277,6.211886
0.025000,206.659338,271.504473,180.231768,67.413325,36.603457,-194.022659,6.220532
0.025000,208.361957,271.403501,181.937379,68.224419,32.443747,-166.388401,6.227005
0.025000,210.083157,271.310810,183.661073,68.947762,28.933732,-140.400594,6.231423
0.025000,211.820890,271.223199,185.401012,69.597574,25.992456,-117.651019,6.233876
0.025000,213.573468,271.137475,187.155686,70.186956,23.575305,-96.686042,6.234434
0.025000,215.339521,271.050439,188.923882,70.727834,21.635108,-77.607873,6.233148
0.025000,217.117942,270.958881,190.704659,71.231076,20.129674,-60.217360,6.230051
0.025000,218.907861,270.859554,192.497331,71.706899,19.032915,-43.870359,6.225155
0.025000,220.708592,270.749159,194.301442,72.164457,18.302350,-29.222620,6.218463
0.025000,222.519608,270.624314,196.116756,72.612557,17.923987,-15.134536,6.209958
0.025000,224.340501,270.481537,197.943239,73.059285,17.869112,-2.194988,6.199612
0.025000,226.170941,270.317211,199.781041,73.512082,18.111873,9.710464,6.187385
0.025000,228.010634,270.127562,201.630482,73.977673,18.623644,20.470809,6.173224
0.025000,229.859265,269.908632,203.492032,74.461994,19.372832,29.967514,6.157068
0.025000,231.716449,269.656257,205.366286,74.970141,20.325876,38.121795,6.138846
0.025000,233.581626,269.366055,207.253904,75.504718,21.383083,42.288273,6.118483
0.025000,235.454002,269.033420,209.155597,76.067727,22.520356,45.490893,6.095901
0.025000,237.332426,268.653534,211.072050,76.658122,23.615825,43.818780,6.071024
0.025000,239.215251,268.221411,213.003826,77.271048,24.517028,36.048100,6.043783
0.025000,241.100212,267.731964,214.951295,77.898760,25.108504,23.659063,6.014123
0.025000,242.984250,267.180122,216.914489,78.527738,25.159118,2.024536,5.982012
0.025000,244.863358,266.561004,218.892962,79.138928,24.447590,-28.461114,5.947448
0.025000,246.732458,265.870141,220.885654,79.707700,22.750891,-67.867931,5.910471
0.025000,248.585289,265.103771,222.890725,80.202834,19.805327,-117.822563,5.871173
0.025000,250.414395,264.259172,224.905415,80.587597,15.390524,-176.592119,5.829708
0.025000,252.211208,263.335034,226.925951,80.821455,9.354336,-241.447528,5.786296
0.025000,253.966280,262.331785,228.947531,80.863194,1.669571,-307.390593,5.741227
0.025000,255.669625,261.251887,230.964352,80.672825,-7.614757,-371.373136,5.694858
0.025000,257.311228,260.099960,232.969793,80.217655,-18.206807,-423.681986,5.647599
0.025000,258.881596,258.882763,234.956656,79.474507,-29.725927,-460.764824,5.599900
0.025000,260.372347,257.608961,236.917500,78.433765,-41.629677,-476.149981,5.552226
0.025000,261.776688,256.288731,238.844982,77.099260,-53.380211,-470.021387,5.505038
0.025000,263.089873,254.933128,240.732337,75.494231,-64.201147,-432.837436,5.458758
0.025000,264.309473,253.553329,242.573877,73.661583,-73.305945,-364.191925,5.413756
0.025000,265.435280,252.160051,244.365152,71.651005,-80.423095,-284.685979,5.370328
0.025000,266.468858,250.763352,246.102694,69.501686,-85.972754,-221.986380,5.328705
0.025000,267.413292,249.372249,247.784099,67.256209,-89.819093,-153.853535,5.289049
0.025000,268.272774,247.994635,249.407839,64.949577,-92.265269,-97.847061,5.251459
0.025000,269.052318,246.637115,250.973261,62.616888,-93.307588,-41.692756,5.215979
0.025000,269.757405,245.305084,252.480396,60.285382,-93.260237,1.894039,5.182608
0.025000,270.393717,244.002822,253.929802,57.976265,-92.364653,35.823376,5.151310
0.025000,270.966916,242.733651,255.322409,55.704274,-90.879655,59.399914,5.122021
0.025000,271.482504,241.500050,256.659421,53.480477,-88.951863,77.111684,5.094658
0.025000,271.945750,240.303726,257.942304,51.315316,-86.606473,93.815612,5.069129
0.025000,272.361566,239.145880,259.172552,49.209926,-84.215578,95.635777,5.045331
0.025000,272.734500,238.027284,260.351678,47.165024,-81.796083,96.779791,5.023163
0.025000,273.068735,236.948343,261.481202,45.180981,-79.361715,97.374756,5.002523
0.025000,273.368105,235.909145,262.562662,43.258374,-76.904291,98.296931,4.983311
0.025000,273.636090,234.909576,263.597531,41.394776,-74.543907,94.415387,4.965431
0.025000,273.875923,233.949034,264.587562,39.601223,-71.742133,112.070936,4.948786
0.025000,274.090544,233.026649,265.534587,37.881017,-68.808249,117.355355,4.933284
0.025000,274.282584,232.141474,266.440354,36.230685,-66.013262,111.799492,4.918838
0.025000,274.454406,231.292476,267.306564,34.648399,-63.291444,108.872735,4.905367
0.025000,274.608103,230.478703,268.134724,33.126411,-60.879505,96.477556,4.892801
0.025000,274.745550,229.699162,268.926290,31.662624,-58.551493,93.120476,4.881072
0.025000,274.868440,228.952789,269.682712,30.256877,-56.229903,92.863612,4.870117
0.025000,274.978257,228.238710,270.405186,28.898966,-54.316428,76.538986,4.859883
0.025000,275.076358,227.555885,271.095022,27.593456,-52.220377,83.842040,4.850316
0.025000,275.163942,226.903431,271.753329,26.332253,-50.448128,70.889971,4.841372
0.025000,275.242095,226.280391,272.381251,25.116907,-48.613833,73.371804,4.833005
0.025000,275.311782,225.685913,272.979800,23.941924,-46.999331,64.580064,4.825179
0.025000,275.373878,225.119098,273.550006,22.808269,-45.346193,66.125536,4.817855
0.025000,275.429166,224.579096,274.092831,21.712973,-43.811859,61.373329,4.811002
0.025000,275.478345,224.065149,274.609126,20.651806,-42.446679,54.607214,4.804590
0.025000,275.522057,223.576367,275.099858,19.629300,-40.900216,61.858528,4.798589
0.025000,275.560863,223.112071,275.565773,18.636580,-39.708832,47.655368,4.792976
0.025000,275.595283,222.671431,276.007755,17.679303,-38.291078,56.710124,4.787726
0.025000,275.625779,222.253708,276.426590,16.753373,-37.037204,50.154970,4.782816
0.025000,275.652765,221.858228,276.822990,15.856017,-35.894231,45.718924,4.778229
0.025000,275.676617,221.484245,277.197733,14.989700,-34.652673,49.662343,4.773944
0.025000,275.697675,221.131066,277.551539,14.152255,-33.497817,46.194233,4.769944
0.025000,275.716241,220.797994,277.885128,13.343548,-32.348257,45.982402,4.766213
0.025000,275.732588,220.484407,278.199141,12.560531,-31.320686,41.102822,4.762736
0.025000,275.746963,220.189634,278.494264,11.804925,-30.224252,43.857379,4.759499
0.025000,275.759584,219.913056,278.771130,11.074626,-29.211952,40.491994,4.756489
0.025000,275.770652,219.654010,279.030412,10.371289,-28.133468,43.139336,4.753694
0.025000,275.780346,219.411838,279.272778,9.694639,-27.066008,42.698424,4.751102
0.025000,275.788822,219.185998,279.498777,9.039983,-26.186246,35.190465,4.748702
0.025000,275.796224,218.975799,279.709107,8.413168,-25.072592,44.546176,4.746484
0.025000,275.802677,218.780753,279.904259,7.806101,-24.282703,31.595530,4.744438
0.025000,275.808296,218.600178,280.084922,7.226503,-23.183895,43.952339,4.742556
0.025000,275.813181,218.433505,280.251666,6.669785,-22.268735,36.606381,4.740828
0.025000,275.817422,218.280161,280.405069,6.136089,-21.347824,36.836446,4.739247
0.025000,275.821097,218.139571,280.545707,5.625534,-20.422216,37.024325,4.737803
0.025000,275.824277,218.011155,280.674162,5.138210,-19.492940,37.171054,4.736490
0.025000,275.827024,217.894332,280.791017,4.674185,-18.560993,37.277876,4.735300
0.025000,275.829390,217.788584,280.896792,4.230991,-17.727781,33.328483,4.734227
0.025000,275.831425,217.693334,280.992064,3.810877,-16.804553,36.929118,4.733263
0.025000,275.833170,217.607953,281.077462,3.415944,-15.797319,40.289352,4.732402
0.025000,275.834661,217.532032,281.153398,3.037436,-15.140330,26.279560,4.731638
0.025000,275.835931,217.464857,281.220584,2.687458,-13.999118,45.648468,4.730964
0.025000,275.837007,217.406011,281.279440,2.354240,-13.328700,26.816735,4.730374
0.025000,275.837914,217.354865,281.330595,2.046163,-12.323099,40.224043,4.729862
0.025000,275.838673,217.310863,281.374603,1.760334,-11.433148,35.598030,4.729423
0.025000,275.839302,217.273532,281.411939,1.493458,-10.675051,30.323890,4.729050
0.025000,275.839818,217.242291,281.443185,1.249839,-9.744756,37.211793,4.728739
0.025000,275.840235,217.216577,281.468902,1.028672,-8.846687,35.922757,4.728483
0.025000,275.840567,217.195856,281.489626,0.828972,-7.987990,34.347898,4.728277
0.025000,275.840824,217.179588,281.505896,0.650786,-7.127436,34.422162,4.728115
0.025000,275.841017,217.167236,281.518250,0.494151,-6.265401,34.481389,4.727992
0.025000,275.841157,217.158259,281.527227,0.359096,-5.402220,34.527250,4.727903
0.025000,275.841252,217.152119,281.533368,0.245641,-4.538184,34.561441,4.727842
0.025000,275.841311,217.148274,281.537213,0.153803,-3.673542,34.585673,4.727804
0.025000,275.841344,217.146185,281.539303,0.083590,-2.808500,34.601666,4.727783
0.025000,275.841357,217.145310,281.540178,0.035009,-1.943222,34.611150,4.727774
0.025000,275.841360,217.145108,281.540380,0.008064,-1.077825,34.615862,4.727772
0.025000,275.841360,217.145108,281.540380,0.000000,-0.322555,30.210812,4.727772
